村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
彰化縣二林鎮中西里,-254,171,425,397,609,65.19,洪秋邦,無
彰化縣二林鎮北平里,140,438,298,654,937,69.80,陳凱偉,無
彰化縣二林鎮南光里,148,460,312,679,974,69.71,洪淑女,無
彰化縣二林鎮原斗里,-546,151,697,854,1171,72.93,莊坤錫,無
彰化縣二林鎮外竹里,-357,101,458,596,923,64.57,顏信鴻,無
彰化縣二林鎮大永里,-331,125,456,571,821,69.55,莊明章,無
彰化縣二林鎮廣興里,-495,133,628,823,1262,65.21,詹金水,無
彰化縣二林鎮後厝里,80,577,497,662,958,69.10,詹順吉,無
彰化縣二林鎮復豐里,-317,75,392,443,662,66.92,曾進賜,無
彰化縣二林鎮振興里,-163,133,296,731,1107,66.03,楊貴葉,無
彰化縣二林鎮東勢里,-223,115,338,610,925,65.95,傅精用,無
彰化縣二林鎮東和里,-145,315,460,555,818,67.85,洪大順,無
彰化縣二林鎮東興里,-115,229,344,499,751,66.44,王元裕,無
彰化縣二林鎮東華里,-444,85,529,650,936,69.44,曾文昌,無
彰化縣二林鎮梅芳里,-310,146,456,711,1030,69.03,吳錦龍,無
彰化縣二林鎮永興里,-128,182,310,551,797,69.13,陳加勝,無
彰化縣二林鎮興華里,-448,140,588,775,1115,69.51,洪建民,無
彰化縣二林鎮華崙里,-173,412,585,750,1112,67.45,張俊卿,無
彰化縣二林鎮萬合里,-298,111,409,656,1031,63.63,林福在,無
彰化縣二林鎮萬興里,-262,104,366,509,720,70.69,謝來旺,無
彰化縣二林鎮西平里,-256,211,467,1031,1484,69.47,洪勝峰,無
彰化縣二林鎮西庄里,-319,175,494,877,1271,69.00,洪漢中,無
彰化縣二林鎮西斗里,-207,122,329,695,989,70.27,蔡淑芬,無
彰化縣二林鎮豐田里,19,348,329,416,680,61.18,吳朝章,無
彰化縣二林鎮趙甲里,-275,176,451,477,674,70.77,曾免,無
彰化縣二林鎮頂厝里,-476,146,622,750,1246,60.19,洪明宏,無
彰化縣二林鎮香田里,-470,103,573,622,986,63.08,陳格俊,無
彰化縣二水鄉上豊村,-305,126,431,660,894,73.83,李新富,無
彰化縣二水鄉二水村,-302,31,333,559,754,74.14,楊景林,無
彰化縣二水鄉五伯村,-169,91,260,436,600,72.67,陳志傑,無
彰化縣二水鄉修仁村,-164,122,286,549,753,72.91,陳星佑,無
彰化縣二水鄉倡和村,-213,52,265,373,535,69.72,鄭慶松,無
彰化縣二水鄉光化村,-143,113,256,630,855,73.68,張惠明,無
彰化縣二水鄉十五村,-305,87,392,460,644,71.43,黃秀花,無
彰化縣二水鄉合和村,-403,104,507,548,790,69.37,董碧顏,無
彰化縣二水鄉合興村,-348,35,383,447,635,70.39,張窓明,無
彰化縣二水鄉大園村,-243,97,340,512,724,70.72,陳建仁,無
彰化縣二水鄉復興村,-268,123,391,700,934,74.95,張叁寶,無
彰化縣二水鄉惠民村,-242,76,318,549,749,73.30,莊秀英,無
彰化縣二水鄉文化村,-181,116,297,660,911,72.45,林友隆,無
彰化縣二水鄉源泉村,-169,67,236,447,635,70.39,張鈞雲,無
彰化縣二水鄉聖化村,-117,58,175,294,402,73.13,鄭鴻志,無
彰化縣二水鄉裕民村,-429,127,556,659,957,68.86,許美月,無
彰化縣二水鄉過圳村,-259,106,365,414,587,70.53,羅澄麃,無
彰化縣伸港鄉七嘉村,247,585,338,719,958,75.05,柯天來,無
彰化縣伸港鄉什股村,31,507,476,745,1071,69.56,林世意,無
彰化縣伸港鄉全興村,-291,245,536,553,792,69.82,陳恭志,無
彰化縣伸港鄉埤墘村,-507,300,807,516,665,77.59,柯宏坤,無
彰化縣伸港鄉大同村,-25,602,627,1070,1448,73.90,陳源森,無
彰化縣伸港鄉定興村,-103,476,579,979,1368,71.56,柯素眉,無
彰化縣伸港鄉新港村,400,909,509,998,1350,73.93,蔡復成,無
彰化縣伸港鄉曾家村,-246,281,527,600,852,70.42,曾添進,無
彰化縣伸港鄉汴頭村,-243,412,655,775,1062,72.98,何俊昌,無
彰化縣伸港鄉泉厝村,-429,189,618,892,1219,73.17,洪勝賢,無
彰化縣伸港鄉泉州村,-31,362,393,801,1056,75.85,陳清泉,無
彰化縣伸港鄉海尾村,-229,287,516,673,904,74.45,黃建達,無
彰化縣伸港鄉溪底村,-188,407,595,618,880,70.23,柯丁財,無
彰化縣伸港鄉蚵寮村,-498,118,616,793,1119,70.87,薛壁鈴,無
彰化縣北斗鎮七星里,-209,211,420,482,641,75.20,易世朋,無
彰化縣北斗鎮中和里,-272,213,485,894,1246,71.75,李宏裕,無
彰化縣北斗鎮中寮里,7,411,404,672,895,75.08,陳傳富,無
彰化縣北斗鎮五權里,-272,85,357,452,622,72.67,謝正良,無
彰化縣北斗鎮光復里,-204,291,495,567,787,72.05,許俊士,無
彰化縣北斗鎮大新里,-148,319,467,585,830,70.48,陳孟麒,無
彰化縣北斗鎮大道里,-14,349,363,827,1101,75.11,許明圖,無
彰化縣北斗鎮居仁里,-35,205,240,457,587,77.85,陳東榮,無
彰化縣北斗鎮文昌里,200,555,355,712,970,73.40,傅俊嘉,無
彰化縣北斗鎮新政里,-294,116,410,521,748,69.65,傅銘霖,無
彰化縣北斗鎮新生里,-210,282,492,701,1039,67.47,吳金郎,無
彰化縣北斗鎮東光里,-157,401,558,828,1119,73.99,呂學銘,無
彰化縣北斗鎮西安里,-196,294,490,576,769,74.90,林義平,無
彰化縣北斗鎮西德里,146,725,579,772,1063,72.62,黃志忠,無
彰化縣北斗鎮重慶里,-229,75,304,371,507,73.18,陳肇基,無
彰化縣和美鎮中圍里,23,514,491,676,882,76.64,李松春,無
彰化縣和美鎮中寮里,-328,170,498,754,1052,71.67,林順泉,無
彰化縣和美鎮仁愛里,-77,532,609,980,1406,69.70,黃合志,無
彰化縣和美鎮南佃里,-167,382,549,816,1123,72.66,陳淑美,無
彰化縣和美鎮和北里,-171,306,477,620,859,72.18,吳華晃,無
彰化縣和美鎮和南里,-94,62,156,280,373,75.07,謝美娥,無
彰化縣和美鎮和東里,333,758,425,797,1044,76.34,尤堃宏,無
彰化縣和美鎮和西里,-17,537,554,760,1002,75.85,黃明卿,無
彰化縣和美鎮嘉寶里,-112,341,453,740,1023,72.34,邵萬興,無
彰化縣和美鎮嘉犁里,-8,334,342,753,975,77.23,陳英傑,無
彰化縣和美鎮四張里,99,518,419,1040,1409,73.81,柯雪月,無
彰化縣和美鎮地潭里,-349,124,473,568,781,72.73,林麗芳,無
彰化縣和美鎮塗厝里,-231,282,513,557,805,69.19,陳建興,中國國民黨
彰化縣和美鎮大霞里,-117,219,336,540,755,71.52,陳萬車,無
彰化縣和美鎮好修里,-190,233,423,485,658,73.71,陳信義,無
彰化縣和美鎮山犁里,531,1039,508,1000,1338,74.74,柯駿榮,無
彰化縣和美鎮新庄里,-37,467,504,808,1103,73.25,王溪成,無
彰化縣和美鎮月眉里,203,533,330,726,976,74.39,蔡東穎,無
彰化縣和美鎮柑井里,258,580,322,821,1102,74.50,陳惠絹,無
彰化縣和美鎮湖內里,-322,198,520,864,1152,75.00,姚鴻輝,無
彰化縣和美鎮源埤里,-152,332,484,684,959,71.32,謝忠復,無
彰化縣和美鎮犁盛里,-100,375,475,784,1030,76.12,黃正炘,無
彰化縣和美鎮竹園里,-203,174,377,729,903,80.73,周秋霞,無
彰化縣和美鎮竹營里,772,1119,347,878,1260,69.68,王金英,無
彰化縣和美鎮糖友里,407,873,466,722,960,75.21,何吉盛,無
彰化縣和美鎮詔安里,-70,336,406,702,957,73.35,廖汶凌,無
彰化縣和美鎮還社里,-216,150,366,643,829,77.56,趙崇丞,無
彰化縣和美鎮鎮平里,-233,506,739,1111,1448,76.73,李崇彥,無
彰化縣和美鎮鐵山里,-5,462,467,967,1279,75.61,李添鎮,無
彰化縣和美鎮雅溝里,-310,214,524,922,1260,73.17,王麗君,無
彰化縣和美鎮面前里,-15,426,441,1015,1347,75.35,劉建村,無
彰化縣和美鎮頭前里,-103,320,423,589,793,74.27,葉國明,無
彰化縣員林市三信里,-178,401,579,906,1208,75.00,黃寅,無
彰化縣員林市三和里,748,1087,339,896,1159,77.31,吳權勝,無
彰化縣員林市三多里,-183,527,710,931,1277,72.91,黃再瑞,無
彰化縣員林市三愛里,-45,585,630,703,913,77.00,黃雅惠,無
彰化縣員林市三條里,-10,474,484,963,1267,76.01,張凱翔,無
彰化縣員林市三橋里,231,583,352,682,905,75.36,賴柏諺,無
彰化縣員林市三義里,73,416,343,829,1166,71.10,林錦泉,無
彰化縣員林市中央里,-20,318,338,778,1031,75.46,鐘政義,無
彰化縣員林市中山里,-161,84,245,402,535,75.14,楊鳳塔,無
彰化縣員林市中東里,21,302,281,600,838,71.60,曹炎權,無
彰化縣員林市中正里,20,548,528,552,786,70.23,陳進發,無
