村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
基隆市七堵區八德里,-337,201,538,951,1430,0.7,余文財,無
基隆市七堵區六堵里,-101,338,439,1599,2208,0.7,余良盛,無
基隆市七堵區友一里,91,291,200,1426,1961,0.7,蕭雪,無
基隆市七堵區友二里,-161,32,193,322,439,0.7,蘇秋福,無
基隆市七堵區堵北里,-386,628,1014,2517,3540,0.7,謝孟翰,無
基隆市七堵區堵南里,-105,330,435,1353,2004,0.7,余佩儒,無
基隆市七堵區富民里,-189,500,689,2428,3309,0.7,吳明宗,中國國民黨
基隆市七堵區實踐里,56,602,546,2550,3601,0.7,張曉玫,無
基隆市七堵區正光里,58,352,294,1688,2502,0.7,許正聲,無
基隆市七堵區正明里,-354,261,615,1318,1823,0.7,謝連堂,無
基隆市七堵區永安里,-125,342,467,1476,2056,0.7,陳君治,無
基隆市七堵區永平里,-129,255,384,1362,1824,0.7,黃朝家,無
基隆市七堵區泰安里,135,747,612,3019,4320,0.7,詹仁豪,無
基隆市七堵區瑪南里,-197,52,249,262,388,0.7,蘇陳素花,無
基隆市七堵區瑪東里,-232,37,269,234,323,0.7,尤羿茹,無
基隆市七堵區瑪西里,-144,38,182,220,317,0.7,陳美雲,無
基隆市七堵區百福里,441,1034,593,4244,5993,0.7,何孟翰,無
基隆市七堵區自強里,-413,156,569,792,1110,0.7,張仁化,無
基隆市七堵區長安里,13,362,349,1636,2489,0.7,王傳隆,無
基隆市七堵區長興里,-185,570,755,2596,3650,0.7,姚琴富,無
基隆市中山區中和里,376,820,444,3640,5300,0.7,蘇彩雪,無
基隆市中山區中山里,-406,132,538,639,916,0.7,羅予廷,無
基隆市中山區中興里,-485,163,648,842,1163,0.7,李進發,無
基隆市中山區仁正里,-348,110,458,493,684,0.7,陳炳楠,無
基隆市中山區仙洞里,-209,51,260,357,528,0.7,何銘松,無
基隆市中山區健民里,-605,135,740,747,1085,0.7,郭正勇,無
基隆市中山區協和里,-362,202,564,986,1426,0.7,童翊娟,中國國民黨
基隆市中山區和平里,-236,51,287,320,420,0.8,張和妹,無
基隆市中山區和慶里,376,1038,662,4164,6320,0.7,陳嘉和,無
基隆市中山區太白里,-410,122,532,528,808,0.7,鄭吉雄,無
基隆市中山區安平里,-364,92,456,522,709,0.7,楊榮豐,無
基隆市中山區安民里,-256,126,382,717,954,0.8,羅聰德,無
基隆市中山區居仁里,-132,162,294,802,1200,0.7,洪文慶,無
基隆市中山區德和里,738,1080,342,4482,5984,0.7,曾聖為,無
基隆市中山區德安里,225,601,376,2625,3721,0.7,卓憶如,無
基隆市中山區文化里,-194,149,343,668,1216,0.5,李麗真,無
基隆市中山區新建里,-362,91,453,523,744,0.7,高瑞堂,無
基隆市中山區民治里,-296,90,386,526,732,0.7,黃國偉,無
基隆市中山區西定里,-436,114,550,593,838,0.7,謝萬利,無
基隆市中山區西康里,-347,186,533,951,1465,0.6,張繼志,無
基隆市中山區西榮里,-329,92,421,438,630,0.7,許美玉,無
基隆市中山區西華里,-354,100,454,546,756,0.7,陳柏豪,無
基隆市中山區通化里,-359,129,488,647,935,0.7,徐麗玲,無
基隆市中山區通明里,-241,203,444,1120,1607,0.7,蘇祐平,無
基隆市中正區中正里,-588,185,773,981,1510,0.6,梁火龍,無
基隆市中正區中濱里,-415,182,597,826,1198,0.7,謝家榮,無
基隆市中正區中砂里,-491,189,680,910,1626,0.6,廖文雄,無
基隆市中正區中船里,-343,152,495,743,1075,0.7,蔣春生,中國國民黨
基隆市中正區信義里,-303,122,425,570,824,0.7,江添丁,無
基隆市中正區入船里,-286,86,372,481,706,0.7,郭蒼成,無
基隆市中正區八斗里,-568,150,718,929,1381,0.7,杜劍秋,無
基隆市中正區和憲里,-319,108,427,547,868,0.6,蘇來成,無
基隆市中正區平寮里,-403,152,555,741,1122,0.7,蔡淑貞,無
基隆市中正區建國里,-115,270,385,1290,1883,0.7,王雅蘭,無
基隆市中正區德義里,-265,109,374,471,622,0.8,張建源,無
基隆市中正區新富里,514,802,288,3269,5062,0.6,莊紫濠,無
基隆市中正區新豐里,876,1163,287,4411,6362,0.7,丁麗娜,無
基隆市中正區正濱里,-374,114,488,563,863,0.7,林耀基,中國國民黨
基隆市中正區正砂里,-68,304,372,1518,2153,0.7,陳枋菱,無
基隆市中正區正義里,-541,141,682,796,1108,0.7,駱錫賢,中國國民黨
基隆市中正區正船里,-290,158,448,799,1112,0.7,沈陸成,無
基隆市中正區海濱里,-327,125,452,726,1100,0.7,莊哲豪,無
基隆市中正區港通里,-636,160,796,905,1189,0.8,林政宏,無
基隆市中正區真砂里,-617,164,781,885,1244,0.7,魏君龍,中國國民黨
基隆市中正區砂子里,204,779,575,3689,5784,0.6,陳俊宇,無
基隆市中正區砂灣里,-115,234,349,1308,1942,0.7,簡曉東,中國國民黨
基隆市中正區碧砂里,-383,125,508,745,1120,0.7,黃志強,中國國民黨
基隆市中正區社寮里,-18,234,252,1102,1592,0.7,范詠翔,無
基隆市中正區義重里,-345,124,469,638,903,0.7,林世英,無
基隆市中正區長潭里,-186,43,229,313,404,0.8,鍾麗美,無
基隆市仁愛區仁德里,-240,123,363,587,791,0.7,王朝成,無
基隆市仁愛區兆連里,-250,94,344,482,675,0.7,潘國龍,中國國民黨
基隆市仁愛區光華里,-261,323,584,1629,2463,0.7,陳世豐,無
基隆市仁愛區博愛里,89,201,112,1026,1362,0.8,邱三元,無
基隆市仁愛區吉仁里,-321,317,638,1638,2423,0.7,李建德,無
基隆市仁愛區同風里,-127,72,199,388,560,0.7,戴學禮,無
基隆市仁愛區和明里,-186,302,488,1247,1667,0.7,陳建平,無
基隆市仁愛區崇文里,-245,120,365,611,836,0.7,陳明楷,無
基隆市仁愛區德厚里,-40,244,284,1226,1651,0.7,莊育超,無
基隆市仁愛區忠勇里,-340,133,473,636,888,0.7,林羅清梅,無
基隆市仁愛區文安里,-264,105,369,540,798,0.7,李隆進,無
基隆市仁愛區文昌里,-308,66,374,503,689,0.7,王明清,無
基隆市仁愛區新店里,-258,54,312,408,532,0.8,陳祐益,無
基隆市仁愛區明德里,-330,84,414,480,653,0.7,許文杰,無
基隆市仁愛區智仁里,-230,302,532,1527,2192,0.7,林志堅,中國國民黨
基隆市仁愛區曲水里,-306,90,396,521,722,0.7,徐鄭麗鳳,無
基隆市仁愛區書院里,-240,143,383,748,1085,0.7,林文肯,中國國民黨
基隆市仁愛區朝棟里,-216,360,576,1829,2573,0.7,李光健,無
基隆市仁愛區林泉里,-210,244,454,1071,1593,0.7,駱俊雄,無
基隆市仁愛區水錦里,16,273,257,1191,1678,0.7,林國星,無
基隆市仁愛區獅球里,-389,137,526,626,928,0.7,林錦榮,無
基隆市仁愛區玉田里,-221,118,339,615,862,0.7,闕美玉,中國國民黨
基隆市仁愛區福仁里,-312,89,401,516,715,0.7,林木火,無
基隆市仁愛區育仁里,-327,91,418,454,668,0.7,藍正信,無
基隆市仁愛區花崗里,-348,173,521,716,979,0.7,姜永國,無
基隆市仁愛區英仁里,-19,141,160,804,1178,0.7,羅景安,無
基隆市仁愛區虹橋里,-14,247,261,978,1395,0.7,李碧霞,無
基隆市仁愛區誠仁里,-277,120,397,603,838,0.7,洪棟全,無
基隆市仁愛區龍門里,-400,112,512,526,753,0.7,林宗益,無
基隆市信義區仁壽里,-393,175,568,741,977,0.8,張富凱,無
基隆市信義區仁義里,-458,166,624,891,1145,0.8,王柏力,中國國民黨
基隆市信義區信綠里,-29,265,294,1372,1884,0.7,吳銘達,無
基隆市信義區孝岡里,-525,222,747,925,1282,0.7,吳石金,無
基隆市信義區孝德里,-28,475,503,1827,2703,0.7,朱志偉,無
基隆市信義區孝忠里,580,1489,909,5582,7562,0.7,林崇道,中國國民黨
基隆市信義區孝深里,462,898,436,3422,4997,0.7,郭姵萱,無
基隆市信義區孝賢里,-218,551,769,2494,3383,0.7,莊琬琳,中國國民黨
基隆市信義區智慧里,-272,106,378,517,709,0.7,蔡美玉,無
基隆市信義區智誠里,-452,202,654,964,1422,0.7,何希華,無
基隆市信義區東信里,-90,665,755,2972,3981,0.7,賴姵綺,無
基隆市信義區東光里,-249,288,537,1308,1833,0.7,李偉華,無
基隆市信義區東安里,-210,361,571,1845,2595,0.7,林睿騰,中國國民黨
基隆市信義區東明里,57,509,452,2397,3364,0.7,翁誠鍾,無
基隆市信義區禮儀里,-693,227,920,1062,1478,0.7,郭金德,中國國民黨
基隆市信義區禮東里,-484,250,734,1058,1402,0.8,賴興泉,中國國民黨
基隆市信義區義和里,-410,158,568,866,1489,0.6,蔡麗月,民主進步黨
基隆市信義區義幸里,-326,293,619,1585,2153,0.7,李王環,無
基隆市信義區義昭里,-534,175,709,935,1241,0.8,童冠睿,無
基隆市信義區義民里,-390,106,496,522,726,0.7,連轉旺,無
基隆市安樂區七賢里,-64,303,367,1621,2279,0.7,鍾尚倫,無
基隆市安樂區三民里,-451,294,745,1620,2314,0.7,簡義雄,無
基隆市安樂區中崙里,-769,282,1051,1186,1670,0.7,李源林,無
基隆市安樂區五福里,-330,491,821,2331,3252,0.7,舒瑞利,無
基隆市安樂區內寮里,420,859,439,3776,5394,0.7,嚴福神,無
基隆市安樂區六合里,52,608,556,2755,3740,0.7,潘德發,無
基隆市安樂區嘉仁里,-198,445,643,2098,3009,0.7,王貴美,無
基隆市安樂區四維里,200,784,584,3472,4470,0.8,黃雅玲,無
基隆市安樂區壯觀里,537,802,265,3211,4259,0.8,陳威竹,無
基隆市安樂區外寮里,-490,566,1056,2627,3834,0.7,顏厚廣,無
基隆市安樂區安和里,-161,125,286,596,802,0.7,童意鵬,無
基隆市安樂區定國里,-249,128,377,654,956,0.7,徐寅禹,無
基隆市安樂區定邦里,-419,117,536,691,932,0.7,林惠蓮,無
基隆市安樂區干城里,-35,232,267,1262,1910,0.7,俞秀真,中國國民黨
基隆市安樂區慈仁里,-166,98,264,581,814,0.7,陳禮信,無
基隆市安樂區新崙里,-73,682,755,2817,3964,0.7,林金龍,無
基隆市安樂區新西里,-193,173,366,866,1256,0.7,黃世榮,無
基隆市安樂區樂一里,-233,95,328,455,623,0.7,楊德成,無
基隆市安樂區武崙里,387,849,462,3568,4834,0.7,李文財,無
基隆市安樂區永康里,102,271,169,1231,1792,0.7,陳銘坤,無
基隆市安樂區興寮里,107,716,609,3171,4574,0.7,黃書筠,無
基隆市安樂區西川里,-361,121,482,742,1125,0.7,王忠誠,無
基隆市安樂區長樂里,133,557,424,2500,3238,0.8,張德發,無
基隆市安樂區鶯安里,459,915,456,3815,5091,0.7,王曉菁,無
基隆市安樂區鶯歌里,-73,365,438,1701,2640,0.6,王俊琳,無
基隆市暖暖區八中里,-62,55,117,271,388,0.7,林浩隆,無
基隆市暖暖區八南里,-514,91,605,504,764,0.7,陳碧琴,無
基隆市暖暖區八堵里,-298,64,362,387,574,0.7,蔡毓濱,無
基隆市暖暖區八西里,-644,197,841,937,1344,0.7,林明傳,無
基隆市暖暖區暖同里,-327,379,706,1656,2503,0.7,李傳河,無
基隆市暖暖區暖暖里,89,411,322,1840,2517,0.7,陳建興,無
基隆市暖暖區暖東里,-108,61,169,256,381,0.7,林嘉萬,無
基隆市暖暖區暖西里,294,868,574,3420,4722,0.7,詹凱傑,無
基隆市暖暖區碇內里,-141,417,558,1836,2552,0.7,林錦隆,無
基隆市暖暖區碇和里,56,505,449,2146,2980,0.7,林香,無
基隆市暖暖區碇安里,223,851,628,3541,4810,0.7,余冠龍,無
基隆市暖暖區碇祥里,437,1041,604,4145,5963,0.7,馮瑞枝,無
基隆市暖暖區過港里,-213,582,795,2517,3550,0.7,楊慎選,無
