村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
花蓮縣光復鄉北富村,-259,60,319,468,834,56.12,黃進正,無
花蓮縣光復鄉南富村,-415,55,470,485,784,61.86,林萬德Kaniw‧Fono,中國國民黨
花蓮縣光復鄉大全村,26,57,31,373,612,60.95,林淑珍,無
花蓮縣光復鄉大同村,-272,91,363,612,985,62.13,邱金仲,無
花蓮縣光復鄉大安村,-431,93,524,513,763,67.23,徐振雄,無
花蓮縣光復鄉大富村,-117,25,142,176,287,61.32,許阿益,無
花蓮縣光復鄉大平村,-261,59,320,551,890,61.91,曾培靈,無
花蓮縣光復鄉大興村,-203,26,229,240,428,56.07,劉建榮,中國國民黨
花蓮縣光復鄉大華村,-448,101,549,750,1190,63.03,曾天滄,中國國民黨
花蓮縣光復鄉大豐村,-81,39,120,236,391,60.36,黃紹貫,無
花蓮縣光復鄉大進村,-171,34,205,270,404,66.83,林正立,無
花蓮縣光復鄉大馬村,-180,70,250,532,948,56.12,王梓安,無
花蓮縣光復鄉東富村,-21,64,85,454,751,60.45,黃建桐,中國國民黨
花蓮縣光復鄉西富村,-97,57,154,260,450,57.78,王天祥,無
花蓮縣卓溪鄉卓清村,-51,69,120,334,597,55.95,何秋明,中國國民黨
花蓮縣卓溪鄉卓溪村,-197,57,254,417,697,59.83,黃品綸,無
花蓮縣卓溪鄉古風村,12,75,63,202,326,61.96,謝富雄,無
花蓮縣卓溪鄉太平村,-232,55,287,435,678,64.16,田光輝,中國國民黨
花蓮縣卓溪鄉崙山村,-267,38,305,294,510,57.65,宋輝國,中國國民黨
花蓮縣卓溪鄉立山村,-189,72,261,274,485,56.49,"葉光明 Umin‧Havung",無
花蓮縣吉安鄉仁和村,393,676,283,652,930,70.11,陳淑美,中國國民黨
花蓮縣吉安鄉仁安村,-193,319,512,709,1132,62.63,廖建緯,中國國民黨
花蓮縣吉安鄉仁里村,316,650,334,675,966,69.88,范國昌,中國國民黨
花蓮縣吉安鄉光華村,-58,247,305,624,955,65.34,石福春,中國國民黨
花蓮縣吉安鄉勝安村,565,759,194,872,1222,71.36,陳羿華,中國國民黨
花蓮縣吉安鄉北昌村,629,1023,394,679,1014,66.96,劉文賢,中國國民黨
花蓮縣吉安鄉南昌村,346,574,228,764,1106,69.08,陳振興,中國國民黨
花蓮縣吉安鄉南華村,-9,164,173,507,781,64.92,蕭萬生,中國國民黨
花蓮縣吉安鄉吉安村,305,765,460,659,969,68.01,田秀鳳,中國國民黨
花蓮縣吉安鄉太昌村,180,428,248,831,1216,68.34,邱耀輝,中國國民黨
花蓮縣吉安鄉宜昌村,345,544,199,667,976,68.34,彭康壽,無
花蓮縣吉安鄉干城村,-429,109,538,715,1243,57.52,林世昌,中國國民黨
花蓮縣吉安鄉慶豐村,809,1057,248,941,1273,73.92,王淑娟,人民民主黨
花蓮縣吉安鄉東昌村,550,766,216,752,1088,69.12,魏錦添,中國國民黨
花蓮縣吉安鄉永安村,143,570,427,699,1034,67.60,郭仁添,中國國民黨
花蓮縣吉安鄉永興村,-67,391,458,653,917,71.21,陳源忠,中國國民黨
花蓮縣吉安鄉福興村,-10,447,457,740,1069,69.22,黃駿緯,中國國民黨
花蓮縣吉安鄉稻香村,66,467,401,703,945,74.39,鄧桂英,中國國民黨
花蓮縣壽豐鄉光榮村,-219,81,300,513,761,67.41,陳一星,中國國民黨
花蓮縣壽豐鄉共和村,-221,76,297,493,720,68.47,錢玉南,中國國民黨
花蓮縣壽豐鄉壽豐村,-15,180,195,483,703,68.71,諶仲泰,無
花蓮縣壽豐鄉平和村,-58,167,225,623,949,65.65,張裕勝,無
花蓮縣壽豐鄉志學村,82,324,242,677,1004,67.43,蔡漢東,無
花蓮縣壽豐鄉月眉村,-156,62,218,491,801,61.30,張添發,中國國民黨
花蓮縣壽豐鄉樹湖村,-137,46,183,214,328,65.24,彭榮華,中國國民黨
花蓮縣壽豐鄉水璉村,-183,46,229,415,663,62.59,蔡素月,無
花蓮縣壽豐鄉池南村,-124,65,189,465,688,67.59,張清飛,無
花蓮縣壽豐鄉溪口村,-230,92,322,613,985,62.23,温幸惠,無
花蓮縣壽豐鄉米棧村,-119,17,136,176,257,68.48,許炎煌,無
花蓮縣壽豐鄉豐坪村,-389,83,472,524,851,61.57,游淑霞,無
花蓮縣壽豐鄉豐山村,-34,215,249,586,950,61.68,梁德仁,中國國民黨
花蓮縣壽豐鄉豐裡村,-180,177,357,399,594,67.17,鍾曜宇,無
花蓮縣壽豐鄉鹽寮村,-145,53,198,306,473,64.69,簡福其,無
花蓮縣富里鄉吳江村,-145,27,172,221,443,49.89,葉見喨,無
花蓮縣富里鄉學田村,-117,41,158,376,600,62.67,鄧萬華,無
花蓮縣富里鄉富南村,-144,26,170,236,449,52.56,廖素淩,無
花蓮縣富里鄉富里村,-319,106,425,717,1250,57.36,曾明健,無
花蓮縣富里鄉新興村,-292,46,338,303,571,53.06,劉文祥,無
花蓮縣富里鄉明里村,-140,28,168,194,352,55.11,黃瑞騰,無
花蓮縣富里鄉東里村,-205,76,281,489,954,51.26,劉青河,無
花蓮縣富里鄉永豐村,-164,26,190,228,415,54.94,陳美月,無
花蓮縣富里鄉石牌村,-264,79,343,510,847,60.21,吳裕達,無
花蓮縣富里鄉竹田村,-550,90,640,612,1025,59.71,陳勝駿,無
花蓮縣富里鄉羅山村,-67,47,114,246,415,59.28,鄧素珍,無
花蓮縣富里鄉萬寧村,-282,31,313,302,589,51.27,徐賢淵,無
花蓮縣富里鄉豐南村,-160,34,194,326,585,55.73,王晉英,無
花蓮縣新城鄉佳林村,-101,132,233,654,947,69.06,何禮飛,中國國民黨
花蓮縣新城鄉北埔村,164,446,282,653,945,69.10,黃淑貞,中國國民黨
花蓮縣新城鄉嘉新村,25,130,105,516,846,60.99,邱明雄,中國國民黨
花蓮縣新城鄉嘉里村,173,568,395,606,900,67.33,何禮鳳,中國國民黨
花蓮縣新城鄉大漢村,215,343,128,617,959,64.34,李添富,中國國民黨
花蓮縣新城鄉康樂村,86,289,203,533,799,66.71,賴明進,中國國民黨
花蓮縣新城鄉新城村,-143,139,282,228,333,68.47,胡國雄,中國國民黨
花蓮縣新城鄉新秀村,15,278,263,545,803,67.87,王秋香,中國國民黨
花蓮縣新城鄉順安村,-34,102,136,371,583,63.64,黃仲祥,無
花蓮縣玉里鎮三民里,-349,55,404,443,819,54.09,蔡貴富,無
花蓮縣玉里鎮中城里,299,560,261,601,989,60.77,姜學文,中國國民黨
花蓮縣玉里鎮啟模里,-215,143,358,448,775,57.81,陳文祥,民主進步黨
花蓮縣玉里鎮國武里,-186,126,312,702,1060,66.23,陳玉蘭,中國國民黨
花蓮縣玉里鎮大禹里,-199,103,302,293,479,61.17,孔慶君,無
花蓮縣玉里鎮德武里,-186,54,240,415,726,57.16,楊敏雄,無
花蓮縣玉里鎮春日里,-186,50,236,450,802,56.11,陳青廉,中國國民黨
花蓮縣玉里鎮東豐里,-122,45,167,281,496,56.65,周富美,無
花蓮縣玉里鎮松浦里,-200,70,270,182,382,47.64,陳錦忠,無
花蓮縣玉里鎮樂合里,-170,55,225,494,917,53.87,陳阿洲,中國國民黨
花蓮縣玉里鎮永昌里,-189,94,283,266,504,52.78,趙琦文,無
花蓮縣玉里鎮泰昌里,-135,105,240,292,499,58.52,李家樑,無
花蓮縣玉里鎮源城里,-225,112,337,274,416,65.87,李春生,無
花蓮縣玉里鎮觀音里,-93,98,191,486,926,52.48,陳金寶,中國國民黨
花蓮縣玉里鎮長良里,-251,46,297,299,575,52.00,陳文華,無
花蓮縣瑞穗鄉奇美村,-185,12,197,163,305,53.44,蔣國雄,無
花蓮縣瑞穗鄉富民村,-252,44,296,428,805,53.17,吳明義,無
花蓮縣瑞穗鄉富源村,-318,67,385,422,698,60.46,江士仁,中國國民黨
花蓮縣瑞穗鄉富興村,-283,34,317,327,564,57.98,陳精浩,中國國民黨
花蓮縣瑞穗鄉瑞北村,-151,35,186,306,551,55.54,李孔忠,無
花蓮縣瑞穗鄉瑞祥村,-147,65,212,521,856,60.86,黃崧庭,無
花蓮縣瑞穗鄉瑞穗村,-112,148,260,461,724,63.67,羅文鑑,無
花蓮縣瑞穗鄉瑞美村,-137,185,322,549,853,64.36,蘇院林,中國國民黨
花蓮縣瑞穗鄉瑞良村,-206,28,234,299,491,60.90,黃義雄,無
花蓮縣瑞穗鄉舞鶴村,-230,74,304,524,884,59.28,楊明林,中國國民黨
花蓮縣瑞穗鄉鶴岡村,-113,72,185,489,813,60.15,羅峰,無
花蓮縣秀林鄉佳民村,-246,110,356,378,571,66.20,尤煥青,中國國民黨
花蓮縣秀林鄉和平村,-51,177,228,652,1001,65.13,楊得福,中國國民黨
花蓮縣秀林鄉富世村,174,226,52,551,884,62.33,張文盛,無
花蓮縣秀林鄉崇德村,-47,135,182,455,747,60.91,"李慧齡Tumun Mowkey",中國國民黨
花蓮縣秀林鄉文蘭村,28,138,110,577,831,69.43,田文才Bunjay·Tadaw,中國國民黨
