村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
屏東縣三地門鄉三地村,-619,127,746,1130,1428,0.8,唐有財,無
屏東縣三地門鄉口社村,-372,49,421,433,560,0.8,宋造福,無
屏東縣三地門鄉大社村,-209,68,277,485,645,0.8,侯虎雄,無
屏東縣三地門鄉安坡村,-354,36,390,341,460,0.7,曾立志,無
屏東縣三地門鄉德文村,-203,68,271,414,571,0.7,劉明義,無
屏東縣三地門鄉賽嘉村,-560,54,614,504,733,0.7,曾順金,無
屏東縣三地門鄉達來村,-246,28,274,232,332,0.7,董吉正,無
屏東縣三地門鄉青山村,-261,63,324,483,679,0.7,潘生貴,無
屏東縣三地門鄉青葉村,-445,68,513,468,628,0.7,杜松順,無
屏東縣三地門鄉馬兒村,-259,24,283,251,328,0.8,"陳惠美Tuquljingid Zikul",無
屏東縣九如鄉三塊村,-735,184,919,1037,1498,0.7,楊慧貞,無
屏東縣九如鄉九塊村,-512,145,657,1000,1332,0.8,林登財,無
屏東縣九如鄉九明村,-934,210,1144,1241,1636,0.8,吳秀里,無
屏東縣九如鄉九清村,-567,159,726,1043,1404,0.7,周澄安,無
屏東縣九如鄉大坵村,-535,149,684,825,1141,0.7,陳慶雄,無
屏東縣九如鄉後庄村,-1057,186,1243,1276,1701,0.8,林芳輝,無
屏東縣九如鄉東寧村,338,581,243,3365,4605,0.7,朱文財,無
屏東縣九如鄉洽興村,-439,147,586,1060,1456,0.7,鄭博彰,無
屏東縣九如鄉玉水村,-633,101,734,835,1194,0.7,林慶國,無
屏東縣九如鄉玉泉村,-152,176,328,1124,1546,0.7,周綉苡,無
屏東縣九如鄉耆老村,-800,132,932,882,1245,0.7,楊銘煌,無
屏東縣佳冬鄉佳冬村,-814,147,961,999,1417,0.7,羅瑞蘭,無
屏東縣佳冬鄉六根村,-582,101,683,887,1255,0.7,楊浩逸,民主進步黨
屏東縣佳冬鄉塭豐村,-324,206,530,1509,2270,0.7,李明杰,無
屏東縣佳冬鄉大同村,-558,100,658,749,1095,0.7,林載興,無
屏東縣佳冬鄉昌隆村,-452,81,533,647,894,0.7,戴張月英,無
屏東縣佳冬鄉燄溫村,-523,85,608,667,1015,0.7,周萬成,無
屏東縣佳冬鄉玉光村,-637,195,832,1377,1991,0.7,曾清香,無
屏東縣佳冬鄉石光村,-461,169,630,1258,1806,0.7,劉金亭,無
屏東縣佳冬鄉羌園村,-465,107,572,711,1033,0.7,陳桂玉,無
屏東縣佳冬鄉萬建村,-352,188,540,1203,1750,0.7,林國榮,無
屏東縣佳冬鄉豐隆村,-341,52,393,444,640,0.7,戴沐雄,無
屏東縣佳冬鄉賴家村,-292,62,354,496,712,0.7,王薏蘋,民主進步黨
屏東縣來義鄉丹林村,-85,71,156,556,704,0.8,辛榮輝,無
屏東縣來義鄉來義村,-526,75,601,673,902,0.7,洪嘉明,無
屏東縣來義鄉南和村,-362,111,473,846,1149,0.7,王自強,無
屏東縣來義鄉古樓村,-699,110,809,779,1092,0.7,趙志強,無
屏東縣來義鄉文樂村,-553,87,640,600,818,0.7,孔志強,無
屏東縣來義鄉望嘉村,-591,87,678,652,848,0.8,江登木,無
屏東縣來義鄉義林村,-79,64,143,428,566,0.8,宗健邦,無
屏東縣內埔鄉上樹村,-301,138,439,760,1048,0.7,黃德欽,無
屏東縣內埔鄉中林村,-855,124,979,973,1457,0.7,鄭永烘,無
屏東縣內埔鄉內埔村,-222,492,714,2687,3980,0.7,吳振邦,無
屏東縣內埔鄉內田村,-202,423,625,2264,3222,0.7,陳玉文,無
屏東縣內埔鄉和興村,-276,383,659,2101,2895,0.7,林清雲,無
屏東縣內埔鄉大新村,-286,165,451,1183,1646,0.7,陳永盛,無
屏東縣內埔鄉富田村,-299,169,468,1222,1789,0.7,陳淦富,無
屏東縣內埔鄉建興村,-255,61,316,494,720,0.7,陳進昌,無
屏東縣內埔鄉振豐村,-176,177,353,1131,1521,0.7,賴傳桂,無
屏東縣內埔鄉東勢村,-467,259,726,1913,2713,0.7,鍾貴郡,無
屏東縣內埔鄉東寧村,-229,514,743,3050,4285,0.7,張擧文,無
屏東縣內埔鄉東片村,-410,80,490,653,882,0.7,黃日禓,無
屏東縣內埔鄉水門村,-293,101,394,541,758,0.7,李麗鳳,無
屏東縣內埔鄉竹圍村,-528,210,738,1281,1817,0.7,徐冠蓉,無
屏東縣內埔鄉美和村,-273,227,500,1446,2131,0.7,利文堂,無
屏東縣內埔鄉義亭村,-277,38,315,357,530,0.7,李鳳金,無
屏東縣內埔鄉老埤村,-257,193,450,1388,2216,0.6,郭廷俊,無
屏東縣內埔鄉興南村,-576,131,707,889,1202,0.7,林錫海,無
屏東縣內埔鄉豐田村,83,400,317,2185,3169,0.7,陳঄于,無
屏東縣內埔鄉隘寮村,-313,137,450,784,1206,0.7,潘其良,無
屏東縣內埔鄉黎明村,-470,245,715,1530,2295,0.7,黃永全,無
屏東縣內埔鄉龍泉村,-305,231,536,1570,2291,0.7,田榮洲,無
屏東縣內埔鄉龍潭村,-188,237,425,1474,2250,0.7,王建新,中國國民黨
屏東縣南州鄉七塊村,-558,109,667,677,975,0.7,陳永南,無
屏東縣南州鄉仁里村,-243,46,289,347,470,0.7,謝文田,無
屏東縣南州鄉南安村,-268,48,316,353,491,0.7,黃江旗,無
屏東縣南州鄉同安村,-466,87,553,677,957,0.7,林素玲,無
屏東縣南州鄉壽元村,-565,92,657,681,1011,0.7,潘景裕,無
屏東縣南州鄉溪北村,-409,74,483,493,652,0.8,吳美惠,無
屏東縣南州鄉溪南村,-369,83,452,612,869,0.7,郭中聞,無
屏東縣南州鄉溪洲村,-295,156,451,1120,1614,0.7,蕭耀武,無
屏東縣南州鄉米崙村,-277,89,366,709,978,0.7,鄧木隆,無
屏東縣南州鄉萬華村,-610,105,715,641,921,0.7,林志明,無
屏東縣屏東市一心里,-206,236,442,1311,1800,0.7,吳健隆,無
屏東縣屏東市三山里,-168,133,301,949,1298,0.7,蔡國忠,無
屏東縣屏東市中正里,-231,576,807,3111,4283,0.7,李育丞,無
屏東縣屏東市仁愛里,-270,269,539,1440,1971,0.7,莊正旭,無
屏東縣屏東市仁義里,-250,104,354,748,1069,0.7,游英貴,無
屏東縣屏東市信和里,-886,172,1058,1095,1524,0.7,張世昌,無
屏東縣屏東市光榮里,-131,189,320,1142,1530,0.7,許文娟,無
屏東縣屏東市公園里,-34,231,265,1361,1888,0.7,邱榮智,無
屏東縣屏東市公館里,-883,186,1069,1044,1436,0.7,丁政瑞,無
屏東縣屏東市前進里,-58,347,405,2017,2829,0.7,王泰益,無
屏東縣屏東市勝利里,-49,655,704,3533,5676,0.6,孔豐榮,無
屏東縣屏東市北勢里,-205,290,495,1661,2232,0.7,洪永烈,無
屏東縣屏東市北興里,488,790,302,4243,5916,0.7,陳約禎,無
屏東縣屏東市厚生里,-404,352,756,1953,2754,0.7,許世在,無
屏東縣屏東市和興里,-560,127,687,734,1004,0.7,蔡晉成,無
屏東縣屏東市大同里,-277,186,463,1192,1613,0.7,張美娥,無
屏東縣屏東市大埔里,-195,199,394,1187,1612,0.7,陳若昕,無
屏東縣屏東市大武里,562,987,425,5591,7764,0.7,蔡永智,無
屏東縣屏東市大洲里,-498,135,633,826,1111,0.7,蘇勝文,無
屏東縣屏東市大湖里,-275,207,482,1202,1727,0.7,方順豐,無
屏東縣屏東市大連里,-152,538,690,3063,3968,0.8,董憲坤,無
屏東縣屏東市安鎮里,-392,216,608,1365,1898,0.7,黃寶霞,無
屏東縣屏東市崇武里,-158,500,658,2771,3891,0.7,馬彥平,中國國民黨
屏東縣屏東市崇蘭里,785,1196,411,5723,7904,0.7,賴榮彬,中國國民黨
屏東縣屏東市崇陽里,665,1123,458,5149,7151,0.7,吳靜苑,無
屏東縣屏東市廣興里,-162,407,569,2039,2838,0.7,郭國石,無
屏東縣屏東市建國里,-339,189,528,1169,1626,0.7,何若羚,無
屏東縣屏東市斯文里,-408,234,642,1388,1896,0.7,郭明賢,無
屏東縣屏東市新生里,-38,595,633,3679,5203,0.7,邱正誠,無
屏東縣屏東市新興里,-229,343,572,1756,2380,0.7,許家緯,無
屏東縣屏東市楠樹里,-111,244,355,1474,1979,0.7,伍靜華,中國國民黨
屏東縣屏東市橋北里,-408,114,522,740,986,0.8,羅福盛,無
屏東縣屏東市橋南里,-248,173,421,975,1439,0.7,吳富美,無
屏東縣屏東市歸心里,-472,117,589,760,1062,0.7,陳文財,無
屏東縣屏東市永光里,-567,133,700,946,1361,0.7,鄭元興,無
屏東縣屏東市永城里,-219,264,483,1473,2158,0.7,張酉添,無
屏東縣屏東市永安里,331,746,415,4108,5853,0.7,温昇勳,無
屏東縣屏東市海豐里,-238,84,322,584,789,0.7,陳振武,無
屏東縣屏東市清溪里,112,578,466,2893,4061,0.7,林柏杉,無
屏東縣屏東市湖南里,-488,130,618,736,1033,0.7,陳榮文,無
屏東縣屏東市湖西里,-710,154,864,1018,1393,0.7,陳進忠,無
屏東縣屏東市溝美里,-238,265,503,1471,2072,0.7,陳秋明,無
屏東縣屏東市潭墘里,159,571,412,3528,5126,0.7,林金堂,中國國民黨
屏東縣屏東市玉成里,-748,189,937,1097,1493,0.7,簡同慰,無
屏東縣屏東市瑞光里,189,959,770,5023,7049,0.7,盧逸洋,無
屏東縣屏東市空翔里,-172,400,572,2587,3810,0.7,祝毅成,中國國民黨
屏東縣屏東市維新里,-149,245,394,1645,2387,0.7,陳基富,無
屏東縣屏東市義勇里,-106,236,342,1275,1715,0.7,林侑弘,無
屏東縣屏東市華山里,185,626,441,3468,4704,0.7,謝沅廷,無
屏東縣屏東市豐年里,153,664,511,3559,4704,0.8,蕭源聖,中國國民黨
屏東縣屏東市豐榮里,-191,292,483,1833,2404,0.8,邱國江,無
屏東縣屏東市豐源里,-107,451,558,2420,3286,0.7,丁國庭,無
屏東縣屏東市豐田里,-27,492,519,2635,3711,0.7,董怡民,中國國民黨
屏東縣屏東市金泉里,-239,96,335,793,1094,0.7,莊美香,無
屏東縣屏東市長安里,-155,316,471,1682,2423,0.7,王基地,無
屏東縣屏東市長春里,-10,238,248,1148,1593,0.7,陳平雄,無
屏東縣屏東市頂宅里,-187,70,257,360,492,0.7,郭施美玉,無
屏東縣屏東市頂柳里,-616,135,751,786,1056,0.7,邱福三,無
屏東縣屏東市龍華里,-210,259,469,1515,2161,0.7,許進昌,無
屏東縣崁頂鄉力社村,-720,162,882,913,1284,0.7,陳丁富,無
屏東縣崁頂鄉北勢村,-307,127,434,979,1411,0.7,李文峯,無
屏東縣崁頂鄉圍內村,-609,119,728,815,1146,0.7,劉松美,無
屏東縣崁頂鄉園寮村,-564,202,766,1390,1962,0.7,鄭光明,無
屏東縣崁頂鄉崁頂村,-78,261,339,1570,2191,0.7,鄭雅陽,無
屏東縣崁頂鄉洲子村,-517,117,634,711,1004,0.7,陳寶玉,無
屏東縣崁頂鄉港東村,-455,163,618,1247,1753,0.7,徐秀如,無
屏東縣崁頂鄉越溪村,-338,90,428,632,883,0.7,蘇國城,無
屏東縣恆春鎮仁壽里,-180,81,261,502,853,0.6,尤義春,無
屏東縣恆春鎮南灣里,-211,207,418,1029,1630,0.6,葉啓俊,無
屏東縣恆春鎮四溝里,-459,103,562,582,974,0.6,廖文志,無
屏東縣恆春鎮城北里,-126,246,372,1324,2095,0.6,洪世明,無
屏東縣恆春鎮城南里,-320,84,404,520,834,0.6,邱榮欽,無
屏東縣恆春鎮城西里,-362,127,489,689,1074,0.6,蔡芬芳,無
屏東縣恆春鎮墾丁里,-274,135,409,809,1177,0.7,劉琴鳴,無
屏東縣恆春鎮大光里,-166,181,347,1196,2118,0.6,吳英世,無
屏東縣恆春鎮山海里,-226,102,328,885,1525,0.6,李承芳,無
屏東縣恆春鎮山腳里,-27,462,489,2556,4117,0.6,韓學火,無
屏東縣恆春鎮德和里,-200,115,315,593,961,0.6,張正林,無
屏東縣恆春鎮水泉里,-178,90,268,768,1342,0.6,陳桂賓,無
屏東縣恆春鎮網紗里,-202,358,560,1921,3108,0.6,曾乙城,無
屏東縣恆春鎮茄湖里,-220,38,258,308,478,0.6,尤信化,無
屏東縣恆春鎮頭溝里,-346,28,374,255,445,0.6,董春財,無
屏東縣恆春鎮鵝鑾里,-469,102,571,611,1040,0.6,謝春敏,無
屏東縣恆春鎮龍水里,-382,93,475,603,1014,0.6,林富琦,無
屏東縣新園鄉中洲村,-266,136,402,1077,1487,0.7,林其芳,無
屏東縣新園鄉五房村,-270,240,510,1809,2631,0.7,蔡明智,無
屏東縣新園鄉仙吉村,-191,267,458,1708,2417,0.7,蔡東清,無
屏東縣新園鄉內庄村,-351,94,445,566,776,0.7,陳啟惠,無
屏東縣新園鄉共和村,-460,221,681,1501,2210,0.7,黃丹鶯,無
屏東縣新園鄉南龍村,-246,161,407,981,1323,0.7,阮隆山,無
屏東縣新園鄉新園村,-289,229,518,1470,2098,0.7,鄭智文,無
屏東縣新園鄉新東村,-523,255,778,1589,2217,0.7,陳威宏,無
屏東縣新園鄉港墘村,-293,101,394,567,817,0.7,李燈標,無
屏東縣新園鄉港西村,-285,187,472,1385,1943,0.7,黃錦,無
屏東縣新園鄉烏龍村,-574,105,679,812,1140,0.7,楊坤崙,無
屏東縣新園鄉瓦磘村,-189,169,358,1148,1586,0.7,李怡欣,無
屏東縣新園鄉田洋村,-316,222,538,1507,2118,0.7,歐麗雪,無
屏東縣新園鄉興龍村,-354,198,552,1470,1995,0.7,郭德興,無
屏東縣新園鄉鹽埔村,-126,476,602,2945,4187,0.7,何有量,無
屏東縣新埤鄉南豐村,-200,69,269,491,705,0.7,曾清和,無
屏東縣新埤鄉建功村,-114,97,211,731,981,0.7,孔德成,無
屏東縣新埤鄉打鐵村,-541,76,617,599,844,0.7,林偉政,無
屏東縣新埤鄉新埤村,51,215,164,1372,1944,0.7,王秀鏵,無
屏東縣新埤鄉箕湖村,-296,85,381,687,1081,0.6,王永豐,無
屏東縣新埤鄉萬隆村,-194,140,334,1128,1695,0.7,潘宗和,無
屏東縣新埤鄉餉潭村,-333,86,419,756,1212,0.6,潘吉實,無
屏東縣春日鄉七佳村,-599,104,703,631,917,0.7,鄞美瑛,無
屏東縣春日鄉力里村,-266,50,316,346,462,0.7,簡春福,無
屏東縣春日鄉古華村,-202,57,259,474,670,0.7,陸清木,無
屏東縣春日鄉士文村,-192,16,208,189,302,0.6,楊大業,無
屏東縣春日鄉春日村,-334,75,409,607,903,0.7,尤仕成,無
屏東縣春日鄉歸崇村,-448,53,501,442,630,0.7,林貴生,無
屏東縣東港鎮下廍里,-446,184,630,1335,1824,0.7,周錦谷,無
屏東縣東港鎮內關帝里,126,303,177,1611,2263,0.7,林振峰,無
屏東縣東港鎮共和里,-232,61,293,460,681,0.7,林國勝,無
