村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
新竹市北區中央里,-143,68,211,321,446,71.97,彭垂東,無
新竹市北區中寮里,539,912,373,945,1274,74.18,徐瑞龍,無
新竹市北區中山里,-148,169,317,660,862,76.57,郭瑞誠,無
新竹市北區中興里,-250,197,447,672,858,78.32,黃丞廷,無
新竹市北區中雅里,235,710,475,912,1202,75.87,鄔滬生,中國國民黨
新竹市北區仁德里,-101,115,216,473,666,71.02,林正雄,無
新竹市北區光田里,-120,393,513,818,1102,74.23,莊火炎,無
新竹市北區光華里,145,626,481,432,1304,33.13,張慶榮,無
新竹市北區北門里,-252,173,425,696,954,72.96,林文烽,無
新竹市北區南勢里,673,933,260,840,1072,78.36,郭文銘,無
新竹市北區南寮里,878,1058,180,839,1221,68.71,許典維,無
新竹市北區古賢里,-174,158,332,613,800,76.63,王泰山,無
新竹市北區台溪里,-42,277,319,550,847,64.94,謝金財,無
新竹市北區境福里,234,854,620,760,1021,74.44,曾發,無
新竹市北區士林里,184,408,224,872,1133,76.96,黃偉文,無
新竹市北區大同里,-82,163,245,562,747,75.23,韋宗賢,無
新竹市北區大鵬里,-25,57,82,129,193,66.84,王立業,無
新竹市北區客雅里,214,388,174,779,1011,77.05,蔡頴德,台灣民眾黨
新竹市北區崇禮里,-238,196,434,752,1027,73.22,鄭瑞鉦,無
新竹市北區康樂里,207,666,459,771,1007,76.56,林再興,無
新竹市北區文雅里,436,805,369,828,1092,75.82,朱毅,無
新竹市北區新民里,10,329,319,691,911,75.85,張金潔,無
新竹市北區新雅里,593,908,315,879,1221,71.99,廖佐華,無
新竹市北區曲溪里,480,917,437,649,994,65.29,廖成章,無
新竹市北區武陵里,381,715,334,833,1111,74.98,高媺婷,無
新竹市北區民富里,458,888,430,597,910,65.60,沈朝旺,無
新竹市北區水田里,328,654,326,847,1076,78.72,許明霞,無
新竹市北區海濱里,719,1058,339,712,1031,69.06,彭東漢,無
新竹市北區港北里,-103,430,533,845,1192,70.89,曾欽裕,無
新竹市北區湳中里,1226,1520,294,1016,1311,77.50,黃彥翔,無
新竹市北區湳雅里,151,488,337,607,821,73.93,陳永和,無
新竹市北區潛園里,-228,104,332,521,705,73.90,陳瑞麟,無
新竹市北區石坊里,-176,76,252,362,498,72.69,彭陳玉真,無
新竹市北區磐石里,665,1140,475,710,980,72.45,林輝雄,無
新竹市北區福林里,395,722,327,886,1140,77.72,洪炎輝,無
新竹市北區育英里,374,718,344,833,1136,73.33,温承杰,無
新竹市北區興南里,78,238,160,311,404,76.98,胡銘煌,無
新竹市北區舊港里,-138,90,228,389,560,69.46,蔡松根,中國國民黨
新竹市北區舊社里,863,1237,374,655,861,76.07,朱倖儀,無
新竹市北區西門里,-167,112,279,394,557,70.74,曾再霖,無
新竹市北區西雅里,244,546,302,698,945,73.86,駱純婕,無
新竹市北區金竹里,951,1270,319,869,1210,71.82,葉家榮,無
新竹市北區金華里,306,975,669,802,1147,69.92,李文中,無
