村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
雲林縣二崙鄉三和村,-374,160,534,272,407,66.83,李宏隆,無
雲林縣二崙鄉來惠村,-362,171,533,384,596,64.43,廖文合,無
雲林縣二崙鄉大同村,-196,86,282,507,799,63.45,鍾金源,無
雲林縣二崙鄉大庄村,-262,134,396,777,1178,65.96,陳水順,無
雲林縣二崙鄉大義村,-346,84,430,493,771,63.94,李育旺,無
雲林縣二崙鄉大華村,-340,91,431,573,836,68.54,銅村榮,無
雲林縣二崙鄉定安村,-213,96,309,570,837,68.10,廖峻慶,無
雲林縣二崙鄉崙東村,-26,204,230,553,804,68.78,李木魁,無
雲林縣二崙鄉崙西村,-114,236,350,667,901,74.03,廖本焜,無
雲林縣二崙鄉庄西村,-360,74,434,513,856,59.93,曹金龍,無
雲林縣二崙鄉復興村,-217,103,320,625,961,65.04,廖鳳藝,無
雲林縣二崙鄉楊賢村,-371,128,499,417,630,66.19,廖世塏,無
雲林縣二崙鄉永定村,-153,161,314,523,761,68.73,程伍聰,無
雲林縣二崙鄉油車村,-9,189,198,704,1009,69.77,李文河,無
雲林縣二崙鄉港後村,-235,134,369,690,1076,64.13,李清波,無
雲林縣二崙鄉湳仔村,-260,138,398,731,1093,66.88,廖世恭,無
雲林縣二崙鄉田尾村,-127,229,356,667,970,68.76,廖國順,無
雲林縣二崙鄉義庄村,-360,62,422,469,701,66.90,李春生,無
雲林縣元長鄉下寮村,-93,148,241,330,535,61.68,吳森榮,無
雲林縣元長鄉五塊村,-321,88,409,549,830,66.14,蔡龍烟,無
雲林縣元長鄉內寮村,-144,58,202,341,546,62.45,吳國璋,無
雲林縣元長鄉卓運村,-151,26,177,205,323,63.47,陳仁忠,無
雲林縣元長鄉合和村,-417,94,511,623,975,63.90,周連瑩,無
雲林縣元長鄉子茂村,-594,121,715,773,1243,62.19,陳李秋香,無
雲林縣元長鄉客厝村,-308,93,401,482,790,61.01,吳朝慶,無
雲林縣元長鄉山內村,-274,94,368,555,888,62.50,洪家雄,無
雲林縣元長鄉崙仔村,-326,73,399,485,769,63.07,王宗智,無
雲林縣元長鄉後湖村,-137,69,206,456,667,68.37,劉悅治,無
雲林縣元長鄉新吉村,-377,66,443,446,651,68.51,陳進朝,無
雲林縣元長鄉潭東村,-287,47,334,357,537,66.48,蕭宗獻,無
雲林縣元長鄉潭西村,-274,45,319,409,689,59.36,李忠信,無
雲林縣元長鄉瓦磘村,-224,136,360,372,592,62.84,陳中一,無
雲林縣元長鄉西莊村,-215,99,314,522,790,66.08,吳昆龍,無
雲林縣元長鄉長北村,-265,124,389,393,652,60.28,李傅秀蕋,無
雲林縣元長鄉長南村,53,377,324,531,844,62.91,李陳玉美,無
雲林縣元長鄉頂寮村,-468,121,589,663,1068,62.08,蔡倍東,無
雲林縣元長鄉鹿北村,-489,136,625,674,1072,62.87,湯力昇,無
雲林縣元長鄉鹿南村,-228,76,304,499,782,63.81,吳若望,無
雲林縣元長鄉龍岩村,-411,93,504,567,903,62.79,吳水福,無
