村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
臺南市七股區七股里,-304,84,388,587,807,72.74,黃進士,無
臺南市七股區三股里,-444,153,597,858,1254,68.42,黃仙立,無
臺南市七股區中寮里,-241,42,283,363,645,56.28,許全田,無
臺南市七股區十份里,-368,168,536,891,1359,65.56,張明漢,無
臺南市七股區塩埕里,-171,30,201,246,396,62.12,謝勝江,無
臺南市七股區大埕里,-6,305,311,559,819,68.25,陳清文,無
臺南市七股區大潭里,-209,53,262,407,655,62.14,陳中正,無
臺南市七股區後港里,-175,82,257,346,487,71.05,蘇龍標,無
臺南市七股區樹林里,-117,191,308,814,1177,69.16,黃寶田,無
臺南市七股區永吉里,-408,108,516,670,1002,66.87,莊弘松,無
臺南市七股區溪南里,-142,43,185,269,355,75.77,黃郁智,無
臺南市七股區玉成里,-301,81,382,521,732,71.17,陳國慶,無
臺南市七股區竹橋里,-198,111,309,393,565,69.56,郭信忠,無
臺南市七股區篤加里,-153,74,227,528,769,68.66,邱秩明,無
臺南市七股區義合里,-133,210,343,819,1115,73.45,黃文乾,無
臺南市七股區西寮里,-222,28,250,270,416,64.90,柯勝强,無
臺南市七股區頂山里,-313,52,365,514,769,66.84,陳博靜,無
臺南市七股區龍山里,-260,111,371,532,773,68.82,王文財,無
臺南市下營區下營里,-234,134,368,479,695,68.92,姜協成,無
臺南市下營區仁里里,-5,221,226,667,944,70.66,姜美芬,無
臺南市下營區大吉里,-255,143,398,426,671,63.49,李宗益,無
臺南市下營區宅內里,-199,177,376,495,703,70.41,曾進發,無
臺南市下營區後街里,-294,161,455,493,672,73.36,洪丙丁,無
臺南市下營區新興里,-101,285,386,649,959,67.67,林秉融,無
臺南市下營區營前里,-197,238,435,679,996,68.17,姜忠志,無
臺南市下營區紅甲里,-275,236,511,765,1084,70.57,顏榮泰,無
臺南市下營區茅營里,-211,217,428,745,1041,71.57,馮政凱,無
臺南市下營區西連里,-278,98,376,591,818,72.25,林文祥,無
臺南市下營區賀建里,-79,137,216,418,617,67.75,吳志弘,無
臺南市下營區開化里,-116,203,319,646,881,73.33,王清得,無
臺南市中西區五條港里,-102,199,301,698,1001,69.73,邱培華,無
臺南市中西區光賢里,-121,505,626,734,996,73.69,洪金安,無
臺南市中西區兌悅里,-47,409,456,761,1387,54.87,曾雅志,無
臺南市中西區南廠里,102,394,292,624,932,66.95,蔡銘順,民主進步黨
臺南市中西區南美里,-93,329,422,754,1084,69.56,曾朝欽,中國國民黨
臺南市中西區南門里,-173,323,496,896,1220,73.44,蘇雅子,中國國民黨
臺南市中西區城隍里,27,427,400,574,858,66.90,曾景亮,無
臺南市中西區大涼里,-26,380,406,977,1347,72.53,侯福成,無
臺南市中西區小西門里,126,397,271,715,1032,69.28,王重堅,無
臺南市中西區府前里,-60,234,294,655,930,70.43,劉錦融,無
臺南市中西區永華里,-241,322,563,897,1250,71.76,鄭雀燕,無
臺南市中西區法華里,-115,373,488,969,1324,73.19,吳育融,無
臺南市中西區淺草里,-28,270,298,816,1201,67.94,徐孝臣,無
臺南市中西區藥王里,102,363,261,505,715,70.63,侯博仁,無
臺南市中西區西和里,225,591,366,757,1047,72.30,廖昇英,民主進步黨
臺南市中西區西湖里,546,898,352,832,1072,77.61,柯茂全,無
臺南市中西區西賢里,246,680,434,926,1232,75.16,黃聖凱,無
臺南市中西區赤嵌里,48,406,358,861,1256,68.55,陳永菁,無
臺南市中西區郡王里,85,435,350,797,1051,75.83,陳建宇,無
臺南市中西區開山里,-175,302,477,842,1198,70.28,呂基正,無
臺南市仁德區一甲里,-228,367,595,995,1301,76.48,楊富田,無
臺南市仁德區上崙里,466,917,451,606,834,72.66,李紫瑀,無
臺南市仁德區中洲里,-364,287,651,847,1143,74.10,葉清仁,無
臺南市仁德區二行里,-193,242,435,792,1115,71.03,吳權國,無
臺南市仁德區仁和里,-298,191,489,1063,1442,73.72,梁珍全,無
臺南市仁德區仁德里,1087,1364,277,805,1074,74.95,王文道,無
臺南市仁德區仁愛里,-389,171,560,818,1127,72.58,張台昇,無
臺南市仁德區仁義里,1038,1287,249,1048,1382,75.83,鍾銘洋,無
臺南市仁德區保安里,-85,374,459,1019,1379,73.89,顏榮城,民主進步黨
臺南市仁德區土庫里,-208,382,590,1165,1491,78.14,黃富建,無
臺南市仁德區大甲里,-334,244,578,683,911,74.97,許榮宗,無
臺南市仁德區太子里,262,726,464,1008,1335,75.51,徐徽梁,無
臺南市仁德區後壁里,1263,1419,156,1080,1425,75.79,蔡誌倫,無
臺南市仁德區成功里,329,623,294,1014,1405,72.17,鄭晴而,無
臺南市仁德區文賢里,-200,305,505,909,1192,76.26,林江溪,無
臺南市仁德區新田里,-39,471,510,897,1212,74.01,王俊傑,無
臺南市佳里區下營里,-95,165,260,587,823,71.32,楊旻嬌,無
臺南市佳里區佳化里,-238,274,512,784,1112,70.50,張清水,無
臺南市佳里區佳興里,-52,236,288,801,1141,70.20,楊江進,無
臺南市佳里區六安里,-90,506,596,982,1347,72.90,林佩玲,無
臺南市佳里區南勢里,256,709,453,768,1062,72.32,黃進福,無
臺南市佳里區塭內里,-11,280,291,727,1031,70.51,黃錦成,無
臺南市佳里區子龍里,-144,267,411,507,747,67.87,謝清安,無
臺南市佳里區安西里,412,764,352,873,1162,75.13,林國賓,無
臺南市佳里區建南里,305,583,278,720,990,72.73,陳俊銘,無
臺南市佳里區忠仁里,-274,340,614,1000,1406,71.12,楊林錦鴦,無
臺南市佳里區文新里,368,731,363,808,1116,72.40,柯淑華,無
臺南市佳里區東寧里,-138,222,360,761,1032,73.74,陳福全,無
臺南市佳里區民安里,66,210,144,982,1353,72.58,周天財,無
臺南市佳里區海澄里,-81,232,313,808,1157,69.84,楊定昌,無
臺南市佳里區營溪里,-47,129,176,456,661,68.99,莊榮堯,無
臺南市佳里區鎮山里,159,711,552,728,1055,69.00,陳信祿,無
臺南市六甲區七甲里,-227,235,462,612,972,62.96,蔡淵湶,無
臺南市六甲區中社里,109,210,101,662,943,70.20,李黃阿鳳,無
臺南市六甲區二甲里,129,440,311,959,1352,70.93,周朝明,無
臺南市六甲區六甲里,-294,401,695,532,764,69.63,李鴻榮,無
臺南市六甲區大丘里,-199,32,231,333,543,61.33,何成章,無
臺南市六甲區水林里,-251,216,467,770,1125,68.44,李宗霖,無
臺南市六甲區王爺里,-275,33,308,399,663,60.18,許峯榮,無
臺南市六甲區甲南里,-560,156,716,917,1294,70.87,劉國賢,無
臺南市六甲區甲東里,-147,296,443,673,939,71.67,陳子文,無
臺南市六甲區菁埔里,-201,61,262,410,581,70.57,蔡明賢,無
臺南市六甲區龜港里,-289,175,464,923,1365,67.62,許文祥,無
臺南市北區中樓里,-433,168,601,935,1308,71.48,楊政衡,中國國民黨
臺南市北區仁愛里,-38,280,318,880,1119,78.64,郭宜緁,無
臺南市北區元寶里,381,761,380,1115,1649,67.62,李和峰,無
