村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
高雄市三民區力行里,-261,109,370,787,1000,0.8,李水池,中國國民黨
高雄市三民區十全里,-748,190,938,1205,1618,0.7,洪能通,無
高雄市三民區十美里,-168,89,257,654,877,0.7,蔡灯能,民主進步黨
高雄市三民區千北里,-393,98,491,733,974,0.8,黃林麗香,無
高雄市三民區千歲里,-467,113,580,802,1081,0.7,許婉羚,無
高雄市三民區千秋里,-384,172,556,1318,1893,0.7,蔡文和,無
高雄市三民區博惠里,-351,382,733,2753,3777,0.7,洪耀斌,無
高雄市三民區博愛里,-482,137,619,811,1113,0.7,鍾秋美,無
高雄市三民區同德里,-119,264,383,1915,2538,0.8,陳清源,無
高雄市三民區安吉里,-246,608,854,3274,4558,0.7,王明文,無
高雄市三民區安和里,-397,300,697,1839,2436,0.8,傅秋陽,民主進步黨
高雄市三民區安宜里,-615,334,949,2254,2957,0.8,周黃俊宇,無
高雄市三民區安寧里,-213,169,382,1189,1771,0.7,郭海定,民主進步黨
高雄市三民區安康里,-331,150,481,936,1445,0.6,孫聖雄,無
高雄市三民區安東里,-483,391,874,2285,2986,0.8,林添祥,無
高雄市三民區安泰里,-277,403,680,2565,3547,0.7,謝明學,無
高雄市三民區安生里,-724,211,935,1207,1621,0.7,余許淑女,無
高雄市三民區安發里,45,486,441,3001,4203,0.7,蔡明德,無
高雄市三民區安邦里,43,452,409,2675,3600,0.7,黃崑山,無
高雄市三民區寶中里,-79,320,399,2009,2752,0.7,任憲慶,中國國民黨
高雄市三民區寶國里,398,1028,630,5313,7362,0.7,黃兆華,民主進步黨
高雄市三民區寶安里,150,831,681,4810,6748,0.7,黃柏澤,中國國民黨
高雄市三民區寶德里,-63,582,645,3444,4795,0.7,潘進派,民主進步黨
高雄市三民區寶慶里,-39,307,346,1864,2617,0.7,陳昱昌,無
高雄市三民區寶業里,146,832,686,4259,5718,0.7,林煥然,民主進步黨
高雄市三民區寶民里,-230,402,632,2156,3027,0.7,陳詩椿,無
高雄市三民區寶泰里,-262,359,621,1838,2635,0.7,黃仲霖,民主進步黨
高雄市三民區寶獅里,-94,449,543,2490,3399,0.7,林昆明,無
高雄市三民區寶玉里,591,1121,530,5663,7765,0.7,黃昱椉,無
高雄市三民區寶珠里,-215,592,807,3573,6616,0.5,陳榮增,民主進步黨
高雄市三民區寶盛里,-110,603,713,3476,4684,0.7,任天霸,無
高雄市三民區寶興里,379,804,425,4676,6398,0.7,許慶銘,無
高雄市三民區寶華里,-230,403,633,2213,3016,0.7,李清樺,無
高雄市三民區寶龍里,-136,442,578,2919,3944,0.7,黃美琴,無
高雄市三民區川東里,-505,106,611,813,1167,0.7,李明海,無
高雄市三民區建東里,-302,123,425,733,1146,0.6,陳建藏,無
高雄市三民區德仁里,-240,200,440,1283,1772,0.7,袁碧嬌,民主進步黨
高雄市三民區德北里,-236,265,501,1568,2154,0.7,李仁祥,無
高雄市三民區德智里,-65,203,268,1526,1994,0.8,李明同,民主進步黨
高雄市三民區德東里,-344,83,427,564,735,0.8,許玉秀,無
高雄市三民區德行里,-371,93,464,785,1031,0.8,郭麗香,無
高雄市三民區德西里,-366,365,731,1414,1968,0.7,林財旺,無
高雄市三民區本上里,124,620,496,3301,4443,0.7,詹鶴,無
高雄市三民區本元里,306,644,338,3699,4945,0.7,吳朝桂,民主進步黨
高雄市三民區本和里,319,926,607,5054,6931,0.7,陳文旗,無
高雄市三民區本安里,50,588,538,3141,4221,0.7,王金堂,民主進步黨
高雄市三民區本揚里,242,939,697,5287,7062,0.7,蘇永樹,無
高雄市三民區本文里,-153,138,291,759,1050,0.7,郭和成,民主進步黨
高雄市三民區本武里,4,197,193,1217,1651,0.7,吳阿吉,民主進步黨
高雄市三民區本館里,417,1043,626,5954,8231,0.7,簡明鎮,無
高雄市三民區正興里,1324,1670,346,8247,11718,0.7,沈秀玲,民主進步黨
高雄市三民區正順里,10,476,466,2693,3689,0.7,黃冠惠,無
高雄市三民區民享里,-91,175,266,1383,1836,0.8,吳慶東,無
高雄市三民區港新里,-132,157,289,1078,1404,0.8,蘇麗玉,無
高雄市三民區港東里,-554,116,670,904,1319,0.7,張士賢,無
高雄市三民區港西里,-277,65,342,509,729,0.7,閩興傳,民主進步黨
高雄市三民區灣中里,111,608,497,3520,5191,0.7,楊宏明,無
高雄市三民區灣利里,-324,271,595,2154,2962,0.7,郭峻毅,民主進步黨
高雄市三民區灣勝里,-255,161,416,1306,1807,0.7,陳金櫃,民主進步黨
高雄市三民區灣子里,110,456,346,2715,3850,0.7,方相茗,無
高雄市三民區灣復里,-30,425,455,2434,3429,0.7,吳國清,無
高雄市三民區灣愛里,-67,302,369,1888,2855,0.7,邱清勳,無
高雄市三民區灣成里,-419,393,812,1930,2780,0.7,黃文良,無
高雄市三民區灣興里,-144,205,349,1349,1808,0.7,張文青,無
高雄市三民區灣華里,-329,330,659,1792,2528,0.7,高素女,中國國民黨
高雄市三民區立德里,-298,121,419,814,1126,0.7,林平長,中國國民黨
高雄市三民區立業里,-335,91,426,619,864,0.7,陳姵羽,無
高雄市三民區立誠里,-236,60,296,494,654,0.8,陳永進,中國國民黨
高雄市三民區精華里,-769,141,910,1069,1440,0.7,何佳憲,民主進步黨
高雄市三民區興德里,-71,238,309,1375,1883,0.7,陳國欽,無
高雄市三民區裕民里,-259,164,423,882,1227,0.7,陳水榮,無
高雄市三民區豐裕里,-169,228,397,1577,2250,0.7,謝錫元,無
高雄市三民區達仁里,-708,167,875,1000,1340,0.7,邱添富,民主進步黨
高雄市三民區達勇里,-451,95,546,626,878,0.7,李少緯,無
高雄市三民區達德里,-462,135,597,923,1209,0.8,陳國枝,無
高雄市三民區達明里,-629,143,772,1070,1472,0.7,張簡王玉珠,民主進步黨
高雄市三民區長明里,-532,107,639,699,982,0.7,林練丁,無
高雄市三民區鳳北里,-501,129,630,929,1234,0.8,鄭健村,無
高雄市三民區鳳南里,-315,114,429,707,964,0.7,王進祿,無
高雄市三民區鼎中里,-69,484,553,2783,3765,0.7,李水發,無
高雄市三民區鼎力里,-33,519,552,2846,3944,0.7,沈巽榮,無
高雄市三民區鼎強里,-85,307,392,1891,2669,0.7,林國石,無
高雄市三民區鼎泰里,2072,2799,727,15013,20625,0.7,張吉雄,無
高雄市三民區鼎盛里,594,991,397,5209,7339,0.7,謝有清,民主進步黨
高雄市三民區鼎西里,374,935,561,4946,6980,0.7,姚素眞,民主進步黨
高雄市三民區鼎金里,-103,454,557,2694,3913,0.7,高豐麟,無
高雄市仁武區中華里,-859,182,1041,1079,1563,0.7,林志榮,民主進步黨
高雄市仁武區五和里,514,772,258,3772,5351,0.7,林雅婷,民主進步黨
高雄市仁武區仁和里,-250,438,688,2349,3200,0.7,鄭諭澤,無
高雄市仁武區仁慈里,-184,400,584,2219,2880,0.8,洪月琴,民主進步黨
高雄市仁武區仁武里,53,677,624,3625,5377,0.7,劉俊彥,無
高雄市仁武區仁福里,-391,64,455,557,825,0.7,朱興,無
高雄市仁武區八卦里,2391,2929,538,13803,19278,0.7,謝秋江,無
高雄市仁武區大灣里,-136,665,801,3482,4828,0.7,謝瑋原,民主進步黨
高雄市仁武區後安里,-503,266,769,1784,2473,0.7,黃榮輝,無
高雄市仁武區文武里,587,1236,649,6633,9199,0.7,蔡進德,無
高雄市仁武區灣內里,554,1154,600,5917,8230,0.7,鄭文輝,民主進步黨
高雄市仁武區烏林里,-374,412,786,2321,3556,0.7,林文斌,民主進步黨
高雄市仁武區竹後里,-530,217,747,1589,2196,0.7,黃常志,無
高雄市仁武區考潭里,-502,282,784,1866,2548,0.7,蔡德明,無
高雄市仁武區赤山里,228,1030,802,5145,6978,0.7,謝青原,民主進步黨
高雄市仁武區高楠里,-133,486,619,2217,3004,0.7,李志能,無
高雄市內門區三平里,-266,56,322,389,604,0.6,洪生業,無
高雄市內門區中埔里,-226,39,265,363,514,0.7,謝清雄,無
高雄市內門區光興里,-471,71,542,431,616,0.7,王士訓,無
高雄市內門區內南里,-137,34,171,249,381,0.7,沈芳昌,無
高雄市內門區內東里,-302,46,348,508,713,0.7,陳明章,無
高雄市內門區內興里,-215,29,244,352,572,0.6,力永信,無
高雄市內門區內豊里,-526,85,611,765,1112,0.7,龔飛盛,無
高雄市內門區內門里,-461,79,540,625,896,0.7,蔡瓊鳳,無
高雄市內門區木柵里,-270,40,310,370,556,0.7,机素勤,無
高雄市內門區東埔里,-242,43,285,302,458,0.7,張錦泉,無
高雄市內門區永吉里,-300,23,323,248,404,0.6,李永坤,無
高雄市內門區永富里,-410,70,480,602,926,0.7,蒙勝南,無
高雄市內門區永興里,-121,28,149,240,370,0.6,陳順良,無
高雄市內門區溝坪里,-292,66,358,531,877,0.6,謝振明,無
高雄市內門區瑞山里,-139,21,160,206,302,0.7,黄淑玲,無
高雄市內門區石坑里,-351,43,394,312,477,0.7,劉文斌,無
高雄市內門區觀亭里,-247,158,405,1102,1588,0.7,許志芳,無
高雄市內門區金竹里,-268,36,304,401,603,0.7,林熾杉,無
高雄市六龜區中興里,-436,118,554,843,1354,0.6,陳信景,無
高雄市六龜區六龜里,-446,54,500,468,894,0.5,邱國輝,無
高雄市六龜區大津里,-84,30,114,210,291,0.7,林文察,無
高雄市六龜區寶來里,-453,50,503,478,823,0.6,沈振揚,無
高雄市六龜區文武里,-766,92,858,746,1321,0.6,鍾達煌,無
高雄市六龜區新威里,-211,52,263,430,675,0.6,邱民棟,無
高雄市六龜區新寮里,-289,38,327,401,596,0.7,朱玉雲,無
高雄市六龜區新發里,-340,52,392,470,880,0.5,劉俊麟,無
高雄市六龜區新興里,-374,51,425,381,626,0.6,邱瑞明,無
高雄市六龜區義寶里,-391,69,460,593,954,0.6,鍾啟鴻,無
高雄市六龜區興龍里,-310,34,344,407,742,0.5,張榮華,無
高雄市六龜區荖濃里,-480,90,570,708,1305,0.5,陳俊福,無
高雄市前金區三川里,-106,136,242,688,901,0.8,莊晉勲,無
高雄市前金區北金里,-340,86,426,590,823,0.7,林福枝,無
高雄市前金區博孝里,-430,104,534,727,1004,0.7,方文杰,民主進步黨
高雄市前金區國民里,-192,94,286,648,935,0.7,謝明致,無
高雄市前金區後金里,-226,80,306,472,638,0.7,施孟均,無
高雄市前金區復元里,-374,93,467,749,1034,0.7,黃千豪,無
高雄市前金區文東里,-265,135,400,849,1130,0.8,黃崑光,無
高雄市前金區文西里,-321,113,434,706,972,0.7,賴勇村,無
高雄市前金區新生里,-92,451,543,2574,3548,0.7,康文展,無
高雄市前金區東金里,-389,82,471,672,961,0.7,謝仲箎,無
高雄市前金區林投里,-194,91,285,659,1092,0.6,李明峰,無
高雄市前金區榮復里,-396,103,499,777,1031,0.8,顏炳豪,無
高雄市前金區民生里,-363,6,369,33,45,0.7,黃博群,無
高雄市前金區社東里,-293,139,432,997,1423,0.7,黃玉英,無
高雄市前金區社西里,-359,154,513,850,1149,0.7,薛寶琴,無
高雄市前金區草江里,-357,178,535,966,1361,0.7,陳振琦,無
高雄市前金區長城里,-615,118,733,925,1334,0.7,李林春蘭,無
高雄市前金區長生里,-276,167,443,1190,1657,0.7,陳宗佐,無
高雄市前金區長興里,-427,154,581,859,1221,0.7,白宗正,無
高雄市前金區青山里,-246,214,460,1349,1922,0.7,江武吉,無
高雄市前鎮區仁愛里,-649,133,782,955,1294,0.7,楊朝雄,民主進步黨
高雄市前鎮區信德里,-331,224,555,1488,2138,0.7,李竣帆,無
高雄市前鎮區信義里,-486,130,616,949,1339,0.7,魏伯曆,民主進步黨
高雄市前鎮區前鎮里,-747,127,874,936,1271,0.7,許澤能,無
高雄市前鎮區平昌里,-225,62,287,457,687,0.7,高琅璋,民主進步黨
高雄市前鎮區平等里,-219,190,409,1427,2942,0.5,施長欽,民主進步黨
高雄市前鎮區建隆里,-582,142,724,970,1369,0.7,林得祿,中國國民黨
高雄市前鎮區復國里,-334,272,606,1811,2483,0.7,呂建霖,民主進步黨
高雄市前鎮區德昌里,-97,184,281,1224,1768,0.7,李正義,無
高雄市前鎮區忠孝里,-263,423,686,2382,3279,0.7,陳宜汝,無
高雄市前鎮區忠純里,175,580,405,3782,5147,0.7,艾台民,中國國民黨
高雄市前鎮區忠誠里,-271,202,473,1365,1874,0.7,吳安美,中國國民黨
高雄市前鎮區振興里,-358,304,662,1716,2375,0.7,鍾明憲,無
高雄市前鎮區明孝里,-212,176,388,1230,1684,0.7,林浤澤,無
高雄市前鎮區明正里,2,590,588,3515,4852,0.7,王春茂,民主進步黨
高雄市前鎮區明禮里,-599,162,761,1088,1544,0.7,莊志明,民主進步黨
高雄市前鎮區明義里,-440,236,676,1642,2201,0.7,翁碩聰,無
高雄市前鎮區明道里,-566,90,656,780,1082,0.7,王進亨,民主進步黨
