村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
嘉義市東區中央里,-26,254,280,789,1075,73.40,廖梅江,民主進步黨
嘉義市東區中山里,-74,246,320,823,1111,74.08,歐陽明,無
嘉義市東區中庄里,126,487,361,695,995,69.85,黃純美,無
嘉義市東區仁義里,-27,456,483,935,1303,71.76,徐國榮,無
嘉義市東區北門里,-209,277,486,751,1053,71.32,洪義松,無
嘉義市東區圳頭里,346,602,256,888,1218,72.91,楊鳳祥,無
嘉義市東區太平里,62,639,577,1080,1451,74.43,施欣成,無
嘉義市東區安寮里,30,387,357,938,1364,68.77,許玉屏,無
嘉義市東區安業里,-139,273,412,657,941,69.82,連淑雲,中國國民黨
嘉義市東區宣信里,-180,147,327,837,1190,70.34,陳冠名,無
嘉義市東區後庄里,40,598,558,965,1399,68.98,許益銨,無
嘉義市東區後湖里,265,565,300,800,1066,75.05,洪修富,無
嘉義市東區文雅里,338,639,301,956,1283,74.51,塗英志,無
嘉義市東區新店里,239,596,357,758,1026,73.88,鄭苡芹,無
嘉義市東區新開里,-87,251,338,586,862,67.98,邱繼賢,無
嘉義市東區朝陽里,-191,208,399,632,869,72.73,吳張秀英,無
嘉義市東區東川里,-27,227,254,584,798,73.18,陳琇瑩,無
嘉義市東區東興里,-174,210,384,623,860,72.44,張家銀,無
嘉義市東區林森里,117,361,244,931,1219,76.37,林靜賢,無
嘉義市東區民族里,-59,192,251,645,866,74.48,劉宗源,中國國民黨
嘉義市東區王田里,-88,311,399,823,1113,73.94,馬久彥,無
嘉義市東區盧厝里,-30,326,356,712,947,75.18,呂純足,中國國民黨
嘉義市東區短竹里,-276,326,602,757,1016,74.51,凃淑慧,中國國民黨
嘉義市東區義教里,-76,386,462,954,1326,71.95,謝雪芳,無
嘉義市東區興仁里,121,542,421,816,1145,71.27,呂文章,無
嘉義市東區興南里,-10,187,197,604,799,75.59,殷大為,無
嘉義市東區興安里,344,615,271,808,1156,69.90,郭茂忠,無
嘉義市東區興村里,272,662,390,648,880,73.64,洪豐盛,無
嘉義市東區芳安里,-153,311,464,717,986,72.72,陳文彬,無
嘉義市東區芳草里,-28,481,509,777,1127,68.94,劉丙伍,中國國民黨
嘉義市東區荖藤里,310,821,511,892,1255,71.08,許雪賢,無
嘉義市東區華南里,-224,227,451,604,837,72.16,蔡國樑,無
嘉義市東區蘭潭里,-202,350,552,690,1041,66.28,林砡朱,中國國民黨
嘉義市東區豐年里,-315,164,479,853,1170,72.91,許美英,無
嘉義市東區過溝里,-103,252,355,670,940,71.28,林桂洲,無
嘉義市東區長竹里,20,433,413,674,913,73.82,江振章,無
